externalId,customerId,amount,currency,type,createdAt
cc-0001,c-328,371.03,BRL,PURCHASE,2026-02-01T09:01:00
cc-0002,c-115,52.15,EUR,PURCHASE,2026-02-01T09:02:00
cc-0003,c-457,295.66,BRL,PURCHASE,2026-02-01T09:03:00
cc-0004,c-016,117.10,EUR,PURCHASE,2026-02-01T09:04:00
cc-0005,c-014,358.29,EUR,PURCHASE,2026-02-01T09:05:00
cc-0006,c-280,225.16,USD,PURCHASE,2026-02-01T09:06:00
cc-0007,c-415,379.64,BRL,PURCHASE,2026-02-01T09:07:00
cc-0008,c-358,139.66,BRL,PURCHASE,2026-02-01T09:08:00
cc-0009,c-491,52.00,USD,PURCHASE,2026-02-01T09:09:00
cc-0010,c-050,172.63,USD,PURCHASE,2026-02-01T09:10:00
cc-0011,c-414,-230.25,BRL,REFUND,2026-02-01T09:11:00
cc-0012,c-499,40.32,USD,PURCHASE,2026-02-01T09:12:00
cc-0013,c-425,442.84,USD,PURCHASE,2026-02-01T09:13:00
cc-0014,c-296,35.71,EUR,PURCHASE,2026-02-01T09:14:00
cc-0015,c-117,492.63,BRL,PURCHASE,2026-02-01T09:15:00
cc-0016,c-444,139.71,EUR,PURCHASE,2026-02-01T09:16:00
cc-0017,c-428,185.72,BRL,PURCHASE,2026-02-01T09:17:00
cc-0018,c-344,468.39,EUR,PURCHASE,2026-02-01T09:18:00
cc-0019,c-037,86.40,EUR,PURCHASE,2026-02-01T09:19:00
cc-0020,c-126,190.35,EUR,PURCHASE,2026-02-01T09:20:00
cc-0021,c-353,342.62,BRL,PURCHASE,2026-02-01T09:21:00
cc-0022,c-118,402.72,USD,PURCHASE,2026-02-01T09:22:00
cc-0023,c-138,-456.65,EUR,REFUND,2026-02-01T09:23:00
cc-0024,c-449,107.10,USD,PURCHASE,2026-02-01T09:24:00
cc-0025,c-203,321.78,BRL,PURCHASE,2026-02-01T09:25:00
cc-0026,c-136,372.75,EUR,PURCHASE,2026-02-01T09:26:00
cc-0027,c-135,214.79,EUR,PURCHASE,2026-02-01T09:27:00
cc-0028,c-205,498.67,BRL,PURCHASE,2026-02-01T09:28:00
cc-0029,c-261,378.14,BRL,PURCHASE,2026-02-01T09:29:00
cc-0030,c-079,396.25,USD,PURCHASE,2026-02-01T09:30:00
cc-0031,c-306,-191.43,USD,REFUND,2026-02-01T09:31:00
cc-0032,c-271,277.06,BRL,PURCHASE,2026-02-01T09:32:00
cc-0033,c-349,341.17,EUR,PURCHASE,2026-02-01T09:33:00
cc-0034,c-385,320.84,BRL,PURCHASE,2026-02-01T09:34:00
cc-0035,c-151,227.41,EUR,PURCHASE,2026-02-01T09:35:00
cc-0036,c-449,485.97,BRL,PURCHASE,2026-02-01T09:36:00
cc-0037,c-260,435.39,USD,PURCHASE,2026-02-01T09:37:00
cc-0038,c-431,304.88,BRL,PURCHASE,2026-02-01T09:38:00
cc-0039,c-192,270.15,EUR,PURCHASE,2026-02-01T09:39:00
cc-0040,c-471,-162.75,BRL,REFUND,2026-02-01T09:40:00
cc-0041,c-058,439.48,USD,PURCHASE,2026-02-01T09:41:00
cc-0042,c-123,-439.13,BRL,REFUND,2026-02-01T09:42:00
cc-0043,c-044,408.20,EUR,PURCHASE,2026-02-01T09:43:00
cc-0044,c-393,330.22,EUR,PURCHASE,2026-02-01T09:44:00
cc-0045,c-085,436.34,USD,PURCHASE,2026-02-01T09:45:00
cc-0046,c-494,270.11,EUR,PURCHASE,2026-02-01T09:46:00
cc-0047,c-354,156.55,EUR,PURCHASE,2026-02-01T09:47:00
cc-0048,c-333,449.91,USD,PURCHASE,2026-02-01T09:48:00
cc-0049,c-062,32.95,BRL,PURCHASE,2026-02-01T09:49:00
cc-0050,c-302,294.63,BRL,PURCHASE,2026-02-01T09:50:00
cc-0051,c-037,30.38,BRL,PURCHASE,2026-02-01T09:51:00
cc-0052,c-464,-165.88,EUR,REFUND,2026-02-01T09:52:00
cc-0053,c-122,243.22,EUR,PURCHASE,2026-02-01T09:53:00
cc-0054,c-068,441.31,EUR,PURCHASE,2026-02-01T09:54:00
cc-0055,c-243,237.01,USD,PURCHASE,2026-02-01T09:55:00
cc-0056,c-098,329.83,USD,PURCHASE,2026-02-01T09:56:00
cc-0057,c-217,432.05,BRL,PURCHASE,2026-02-01T09:57:00
cc-0058,c-345,323.44,BRL,PURCHASE,2026-02-01T09:58:00
cc-0059,c-207,400.50,BRL,PURCHASE,2026-02-01T09:59:00
cc-0060,c-128,268.61,BRL,PURCHASE,2026-02-01T10:00:00
cc-0061,c-217,231.85,BRL,PURCHASE,2026-02-01T10:01:00
cc-0062,c-227,428.13,BRL,PURCHASE,2026-02-01T10:02:00
cc-0063,c-026,270.75,BRL,PURCHASE,2026-02-01T10:03:00
cc-0064,c-497,377.03,BRL,PURCHASE,2026-02-01T10:04:00
cc-0065,c-086,241.20,USD,PURCHASE,2026-02-01T10:05:00
cc-0066,c-463,-190.11,USD,REFUND,2026-02-01T10:06:00
cc-0067,c-136,392.78,USD,PURCHASE,2026-02-01T10:07:00
cc-0068,c-217,365.52,EUR,PURCHASE,2026-02-01T10:08:00
cc-0069,c-339,78.24,USD,PURCHASE,2026-02-01T10:09:00
cc-0070,c-112,290.01,EUR,PURCHASE,2026-02-01T10:10:00
cc-0071,c-032,29.53,EUR,PURCHASE,2026-02-01T10:11:00
cc-0072,c-245,426.51,BRL,PURCHASE,2026-02-01T10:12:00
cc-0073,c-030,40.98,BRL,PURCHASE,2026-02-01T10:13:00
cc-0074,c-036,337.93,BRL,PURCHASE,2026-02-01T10:14:00
cc-0075,c-207,445.25,BRL,PURCHASE,2026-02-01T10:15:00
cc-0076,c-297,310.07,USD,PURCHASE,2026-02-01T10:16:00
cc-0077,c-337,261.87,USD,PURCHASE,2026-02-01T10:17:00
cc-0078,c-105,157.78,USD,PURCHASE,2026-02-01T10:18:00
cc-0079,c-203,323.10,USD,PURCHASE,2026-02-01T10:19:00
cc-0080,c-162,467.93,BRL,PURCHASE,2026-02-01T10:20:00
cc-0081,c-235,281.93,BRL,PURCHASE,2026-02-01T10:21:00
cc-0082,c-038,253.44,BRL,PURCHASE,2026-02-01T10:22:00
cc-0083,c-478,35.33,BRL,PURCHASE,2026-02-01T10:23:00
cc-0084,c-190,219.65,EUR,PURCHASE,2026-02-01T10:24:00
cc-0085,c-361,491.94,EUR,PURCHASE,2026-02-01T10:25:00
cc-0086,c-271,-408.73,USD,REFUND,2026-02-01T10:26:00
cc-0087,c-478,469.53,BRL,PURCHASE,2026-02-01T10:27:00
cc-0088,c-136,54.41,EUR,PURCHASE,2026-02-01T10:28:00
cc-0089,c-080,302.81,EUR,PURCHASE,2026-02-01T10:29:00
cc-0090,c-176,317.48,USD,PURCHASE,2026-02-01T10:30:00
cc-0091,c-259,452.76,BRL,PURCHASE,2026-02-01T10:31:00
cc-0092,c-048,414.84,BRL,PURCHASE,2026-02-01T10:32:00
cc-0093,c-002,66.28,USD,PURCHASE,2026-02-01T10:33:00
cc-0094,c-083,276.29,USD,PURCHASE,2026-02-01T10:34:00
cc-0095,c-288,-38.55,EUR,REFUND,2026-02-01T10:35:00
cc-0096,c-463,18.98,USD,PURCHASE,2026-02-01T10:36:00
cc-0097,c-299,215.46,BRL,PURCHASE,2026-02-01T10:37:00
cc-0098,c-158,466.61,BRL,PURCHASE,2026-02-01T10:38:00
cc-0099,c-461,341.35,EUR,PURCHASE,2026-02-01T10:39:00
cc-0100,c-053,280.38,USD,PURCHASE,2026-02-01T10:40:00
cc-0101,c-499,78.12,BRL,PURCHASE,2026-02-01T10:41:00
cc-0102,c-443,400.14,BRL,PURCHASE,2026-02-01T10:42:00
cc-0103,c-452,90.50,USD,PURCHASE,2026-02-01T10:43:00
cc-0104,c-401,401.32,EUR,PURCHASE,2026-02-01T10:44:00
cc-0105,c-416,80.44,EUR,PURCHASE,2026-02-01T10:45:00
cc-0106,c-056,20.32,USD,PURCHASE,2026-02-01T10:46:00
cc-0107,c-114,459.31,USD,PURCHASE,2026-02-01T10:47:00
cc-0108,c-157,435.79,BRL,PURCHASE,2026-02-01T10:48:00
cc-0109,c-013,199.83,USD,PURCHASE,2026-02-01T10:49:00
cc-0110,c-443,-386.89,USD,REFUND,2026-02-01T10:50:00
cc-0111,c-329,340.08,EUR,PURCHASE,2026-02-01T10:51:00
cc-0112,c-170,58.56,USD,PURCHASE,2026-02-01T10:52:00
cc-0113,c-092,491.79,BRL,PURCHASE,2026-02-01T10:53:00
cc-0114,c-056,173.50,USD,PURCHASE,2026-02-01T10:54:00
cc-0115,c-224,256.20,USD,PURCHASE,2026-02-01T10:55:00
cc-0116,c-461,128.11,EUR,PURCHASE,2026-02-01T10:56:00
cc-0117,c-224,-462.86,EUR,REFUND,2026-02-01T10:57:00
cc-0118,c-352,371.23,EUR,PURCHASE,2026-02-01T10:58:00
cc-0119,c-101,35.92,EUR,PURCHASE,2026-02-01T10:59:00
cc-0120,c-472,157.64,BRL,PURCHASE,2026-02-01T11:00:00
cc-0121,c-369,254.05,EUR,PURCHASE,2026-02-01T11:01:00
cc-0122,c-210,348.91,EUR,PURCHASE,2026-02-01T11:02:00
cc-0123,c-066,332.80,USD,PURCHASE,2026-02-01T11:03:00
cc-0124,c-347,87.84,EUR,PURCHASE,2026-02-01T11:04:00
cc-0125,c-155,417.03,USD,PURCHASE,2026-02-01T11:05:00
cc-0126,c-147,393.09,EUR,PURCHASE,2026-02-01T11:06:00
cc-0127,c-336,221.45,EUR,PURCHASE,2026-02-01T11:07:00
cc-0128,c-110,397.07,EUR,PURCHASE,2026-02-01T11:08:00
cc-0129,c-087,142.61,EUR,PURCHASE,2026-02-01T11:09:00
cc-0130,c-325,47.60,BRL,PURCHASE,2026-02-01T11:10:00
cc-0131,c-345,403.47,BRL,PURCHASE,2026-02-01T11:11:00
cc-0132,c-013,-491.98,EUR,REFUND,2026-02-01T11:12:00
cc-0133,c-436,228.25,EUR,PURCHASE,2026-02-01T11:13:00
cc-0134,c-295,348.48,USD,PURCHASE,2026-02-01T11:14:00
cc-0135,c-205,328.37,BRL,PURCHASE,2026-02-01T11:15:00
cc-0136,c-458,385.25,BRL,PURCHASE,2026-02-01T11:16:00
cc-0137,c-399,88.77,EUR,PURCHASE,2026-02-01T11:17:00
cc-0138,c-266,279.15,BRL,PURCHASE,2026-02-01T11:18:00
cc-0139,c-234,232.86,EUR,PURCHASE,2026-02-01T11:19:00
cc-0140,c-287,475.07,USD,PURCHASE,2026-02-01T11:20:00
cc-0141,c-314,446.12,USD,PURCHASE,2026-02-01T11:21:00
cc-0142,c-426,223.51,BRL,PURCHASE,2026-02-01T11:22:00
cc-0143,c-381,225.58,BRL,PURCHASE,2026-02-01T11:23:00
cc-0144,c-431,383.14,EUR,PURCHASE,2026-02-01T11:24:00
cc-0145,c-249,138.02,BRL,PURCHASE,2026-02-01T11:25:00
cc-0146,c-366,136.59,USD,PURCHASE,2026-02-01T11:26:00
cc-0147,c-458,70.05,BRL,PURCHASE,2026-02-01T11:27:00
cc-0148,c-197,353.50,BRL,PURCHASE,2026-02-01T11:28:00
cc-0149,c-213,271.76,USD,PURCHASE,2026-02-01T11:29:00
cc-0150,c-032,210.65,EUR,PURCHASE,2026-02-01T11:30:00
cc-0151,c-485,428.51,EUR,PURCHASE,2026-02-01T11:31:00
cc-0152,c-195,471.43,USD,PURCHASE,2026-02-01T11:32:00
cc-0153,c-386,445.93,USD,PURCHASE,2026-02-01T11:33:00
cc-0154,c-276,273.52,EUR,PURCHASE,2026-02-01T11:34:00
